"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.793997705E0,6.669999957E-1,-5.329999924E-1,-1.500000060E-1
1.798985389E0,7.500000000E-1,-4.090000093E-1,-3.379999995E-1
1.803973081E0,3.560000062E-1,-1.790000051E-1,-5.230000019E-1
1.808960773E0,3.370000124E-1,-2.090000063E-1,-5.799999833E-1
1.813948485E0,5.389999747E-1,-3.930000067E-1,-7.509999871E-1
1.818936178E0,5.419999957E-1,-4.769999981E-1,-9.679999948E-1
1.823923871E0,5.389999747E-1,-4.469999969E-1,-1.194000006E0
1.828911568E0,3.700000048E-1,-1.829999983E-1,-1.253999949E0
1.833899260E0,2.790000141E-1,5.799999833E-2,-1.041000009E0
1.838886971E0,2.879999876E-1,2.049999982E-1,-7.659999728E-1
1.843874663E0,2.210000008E-1,3.019999862E-1,-6.029999852E-1
1.848862355E0,1.800000072E-1,3.240000010E-1,-5.509999990E-1
1.853849943E0,1.190000027E-1,2.680000067E-1,-5.289999843E-1
1.858837633E0,2.199999988E-2,2.150000036E-1,-5.109999776E-1
1.863825403E0,1.999999955E-2,1.080000028E-1,-5.260000229E-1
1.868813006E0,-2.000000095E-3,3.900000080E-2,-5.049999952E-1
1.873800696E0,-8.600000292E-2,1.080000028E-1,-4.709999859E-1
1.878788389E0,-1.570000052E-1,1.609999985E-1,-3.379999995E-1
1.883776081E0,-1.600000076E-2,1.490000039E-1,-2.949999869E-1
1.888763850E0,1.529999971E-1,1.850000024E-1,-3.510000110E-1
1.893751549E0,2.199999988E-1,2.380000055E-1,-5.009999871E-1
1.898739241E0,1.800000072E-1,2.779999971E-1,-6.269999743E-1
1.903726933E0,2.500000037E-2,3.300000131E-1,-6.529999971E-1
1.908714564E0,-7.699999958E-2,4.550000131E-1,-5.199999809E-1
1.913702254E0,-1.480000019E-1,5.500000119E-1,-3.659999967E-1
1.918689946E0,-1.299999952E-1,6.079999804E-1,-2.049999982E-1
1.923677624E0,-1.360000074E-1,5.839999914E-1,-9.999999776E-3
1.928665316E0,-1.570000052E-1,5.130000114E-1,1.689999998E-1
1.933653008E0,-8.900000155E-2,3.630000055E-1,2.419999987E-1
1.938640701E0,-1.300000027E-2,1.599999964E-1,2.010000050E-1
